"green","industrial","urban","water","fkt","area","sum","p_water","p_green","p_industrial","p_urban","sum_check","urban_index1","urban_index2","index1_s","index2_s"
302824.536353552,94231.2767219953,239024.910521121,16778.1521478185,"Androhibe",1809298.978,652858.875744487,0.025699508379488,0.463843791674313,0.144336364600296,0.366120335345904,1,1.43343935007127,0.0984549714745537,0.928173670971374,0.108212967544102
62133.4931940878,14116.1809101171,80200.9902363268,7308.29474106813,"Androndrabe Ampamantanana Ambo",453406.623,163758.9590816,0.0446283658741777,0.379420420980614,0.0862009687243009,0.489750244420907,1,1.4415777233281,-0.192405528571088,0.933443390810693,-0.211475082535068
247090.862182921,56747.9513961334,188959.187133433,8588.83482193948,"Androndrakely Saropody Antonta",1388091.347,501386.835534427,0.0171301562251523,0.492814818162403,0.113181973227609,0.376873052384835,1,1.67819371755775,0.556362063597194,1.08665582771202,0.611503807569266
107797.895292898,20169.3161370397,128686.987242101,9623.41912145817,"Angarangarana",737289.091,266277.617793497,0.0361405483540164,0.404832731290608,0.0757454430611639,0.483281277294212,1,1.55292293045172,0.133093496984364,1.00554109737627,0.146284560889061
3140.16916464819,7436.4188377707,34952.9270513979,82.1878785938025,"Anjanahary IIa",126358.861,45611.7029324106,0.00180190331230544,0.0688456900918923,0.163037517998184,0.766314888597618,1,-1.55896523267962,-0.14262639244432,-1.00945357950516,-0.156762273609501
18759.1598736319,9532.49967221673,68727.2499406518,1150.86362996697,"Anjanahary IIn",271950.039,98169.7731164674,0.0117231974102823,0.191088960258432,0.09710218705413,0.700085655277156,1,-0.276690003713377,0.227280159703045,-0.179160964469798,0.249806182227382
2865.5762955345,5516.42302126837,36836.1885639169,80.6787031888962,"Anjanahary IIo",125489.511,45298.8665839087,0.00178103138716401,0.0632593376310308,0.121778389555291,0.813181241426514,1,-1.37400891562258,0.0940636641043029,-0.889691565323219,0.103386432176552
3455.53353746933,7537.1377397874,44397.9047406941,86.1820442378521,"Anjanahary IIs",153687.914,55476.7580621887,0.00155348018248008,0.0622879500924644,0.135861178682041,0.800297391043014,1,-1.459001584541,0.0138712271097093,-0.944725604616022,0.0152460218771969
757.383982878993,717.526223520108,6650.77955541179,48.5050117134233,"Anjanakomboro",22650.698,8174.19477352432,0.00593391924921191,0.0926554852022991,0.0877794380241744,0.813631157524315,1,-0.94508814465836,0.24655182894029,-0.61195887539676,0.270987890844601
1351.03411774454,3157.20209383184,27596.3808356646,36,"Ankadifotsy Antanifotsy",89036.616,32140.6170472409,0.00112007806032742,0.0420351020566519,0.0982309110366898,0.858613908846331,1,-1.39472490129872,0.212010192529626,-0.903105479537214,0.233022789399283
1555.51439099071,5606.74485113282,27479.8727963421,67.7818759394577,"Ankadifotsy Befelatanana",96155.879,34709.9139144051,0.00195281025780151,0.044814700342577,0.161531511284041,0.79170097811558,1,-1.70585854704081,-0.182263801012798,-1.10456922344572,-0.200328195601177
15559.7935462958,3162.42246530601,22351.3256047423,855.810946960153,"Ankadilalana",116114.086,41929.3525633042,0.0204107837264614,0.371095487887725,0.0754226400355559,0.533071088350258,1,1.12893488792167,0.471740434642047,0.731002423756411,0.518495222522657
3594.89372426368,6100.49020232906,25259.1268107728,107.32904935535,"Ankaditapaka Avaratra",97128.155,35061.8397867209,0.00306113569647876,0.102530093860768,0.17399230158594,0.720416468856813,1,-1.38138561984244,-0.177284176045158,-0.894468092934997,-0.194855033739113
158649.96434772,31597.8137136297,130389.129102929,27040.9096142182,"Ankaditoho Marohoho",962653.298,347677.816778497,0.0777757691438961,0.456313163197279,0.0908824555055247,0.375028612153301,1,2.35141781217038,-0.919140089795191,1.52257861666847,-1.01023722028295
