"","compact_ur","industrial","ricefield","sparse_urb","water","name_transect","id_transect","sum","p_water","p_ricefield","p_industrial","p_sparse","p_compact","sum_check"
"69",8896.89373708201,6704.38191546923,5245.41738924648,7667.15529389292,485.590655448083,"Ankerana Equipe01",69,29068.4389911387,0.0167050819480231,0.180450604548992,0.230641277899821,0.263762195700643,0.306067131427118,0.997626291524597
"70",9608.38484821404,7765.40356313717,5641.58686487891,8644.74836837808,467.374966150383,"Ankerana Equipe02",70,32197.4986107586,0.0145158781370119,0.175218172476101,0.241180336926621,0.268491303404839,0.298420227122968,0.997825918067542
"71",12721.551506556,7266.79371494774,1970.04982155372,5814.25348978511,238.072153313551,"Ankerana Equipe04",71,28081.7206861561,0.00847783353357393,0.0701541705214997,0.258773092865715,0.207047622001719,0.453018945980313,0.99747166490282
"72",11723.2847262263,3917.60884606119,1116.18628283629,4664.28478289563,124.319934679312,"Ankerana Equipe05",72,21617.6845726987,0.00575084414157459,0.0516330173605151,0.181222407649004,0.215762459074189,0.542300665309539,0.996669393534822
"73",6930.86312467623,4972.36058532132,4412.35392514672,5420.36082535017,504.940949008102,"Ankerana Equipe06",73,22313.8794095025,0.0226290077015057,0.197740332112205,0.222837118282704,0.242914319194621,0.31060771627746,0.996728493568496
"74",17388.6187234354,6872.11829974624,1284.64480241074,6534.33965227166,142.645269840956,"Ankerana Equipe07",74,32296.366747705,0.0044167590415133,0.0397767591768515,0.212783015297985,0.202324295587707,0.53840789149049,0.997708720594546
"75",11122.9192770254,6944.78998084981,1361.67576424925,5183.08166308423,153.109786220826,"Ankerana Equipe09",75,24840.5764714295,0.00616369698170757,0.0548165927556227,0.279574428912203,0.208653839778862,0.447772187969086,0.996980746397481
"76",6710.06369916796,7229.74065877552,6536.17330842086,6094.1120851072,844.955512599892,"Ankerana Equipe10",76,27491.0452640714,0.0307356633581401,0.237756449259611,0.262985295369042,0.221676259544475,0.244081795898007,0.997235463429274
"77",8657.55819625245,4292.70879333111,1608.30020601695,4016.25514199845,186.803473762004,"Anosipatrana Equipe04",77,18838.625811361,0.00991598196346936,0.0853724800376384,0.227867405845617,0.213192574777741,0.459564210412383,0.995912653036849
"78",7699.98692681734,5082.30411757802,3368.50667636242,4798.94350620141,343.366206246428,"Anosipatrana Equipe09",78,21371.1074332056,0.0160668419883997,0.157619659481406,0.237811921233493,0.224552869859472,0.360298919973299,0.996350212536071
"79",7430.35217863983,4930.61821904533,1369.787607048,4322.35816610609,176.553147589788,"Anosipatrana Equipe10",79,18308.669318429,0.00964314470479151,0.0748163388187478,0.269305110780623,0.236082595131876,0.405837914782842,0.995685104218881
"80",16807.8281956492,5586.35008560883,1075.05928685411,5713.98108121319,31.1928353309631,"Faravohitra-Analakely Equipe01",80,29294.4114846563,0.00106480498327475,0.0366984428896004,0.190696784898199,0.195053622572552,0.573755448354125,0.997269103697751
"81",13906.3868373934,6385.96699666564,4455.62599376866,7457.21461388061,418.122963991616,"Faravohitra-Analakely Equipe02",81,32704.3174056999,0.0127849469782465,0.136239687821526,0.19526372978366,0.228019271014686,0.425215627187183,0.997523262785302
"82",14706.0905995566,5008.39762283607,3362.30077989935,8108.15769632258,178.403713853681,"Faravohitra-Analakely Equipe03",82,31445.3504124683,0.0056734528797918,0.106925212656119,0.159273073988395,0.257849176109281,0.467671385647067,0.997392301280653
"83",15381.2390449317,4201.7408654853,1424.45440144581,5515.76200633676,44.3406950009521,"Faravohitra-Analakely Equipe04",83,26650.5370132005,0.00166378242130691,0.053449369547047,0.157660645389776,0.206966261265381,0.577145557604077,0.996885616227587
"84",12952.2665984553,4246.00493713023,315.441161355469,3275.06179254777,14.2194402217865,"Isotry-Antetezana Equipe05",84,20886.9939297106,0.000680779640652843,0.0151022766807421,0.203284634994341,0.156799097254927,0.620111570005843,0.995978358576506
"85",15215.0595618524,4687.33591960854,741.155847634887,4364.57422606744,15.2915138304234,"Isotry-Antetezana Equipe07",85,25108.4170689937,0.000609019429158153,0.0295182227377503,0.186683848158509,0.173829127263353,0.605974463465538,0.996614681054308
"86",11977.4554859634,7008.60034084666,3350.47792300697,7165.40179372616,343.262745723594,"Mahamasina Equipe06",86,29931.1982892668,0.011468393026105,0.111939317986091,0.234157024824493,0.239395754372308,0.400166253626353,0.99712674383535
"87",5906.06593933223,9549.47278155776,6916.18082929238,6507.77541562122,898.564636520343,"Mahamasina Equipe08",87,29865.0596023239,0.0300874884726639,0.231581015453731,0.319754017193211,0.217905991224435,0.197758384479255,0.997086896823296
"88",9587.76753768575,8179.35635919153,7168.42136952262,9251.17683696111,675.358980742283,"Mahamasina Equipe09",88,34950.0810841033,0.0193235311562543,0.205104570495063,0.234029681920018,0.264696863354887,0.274327476225703,0.997482123151925
"89",12353.7672959122,7440.90336105631,1983.70923776013,6270.070791551,233.107893496752,"Mahamasina Equipe10",89,28370.5585797763,0.00821654225951407,0.0699214022234371,0.262275532578357,0.221006251037318,0.435443216994621,0.996862945093247
"90",9983.04287341721,6677.44658061733,4175.67255963865,5769.01407424369,421.564372126115,"Mandroseza Equipe01",90,27116.740460043,0.0155462775014312,0.15398873495845,0.24624812817959,0.212747327900433,0.368150548482308,0.996681017022211
