Month Created,Date Created,Time Created,Syncing Date,Latitude,Longitude,PetScannerChip,PetScannerSerial,AnswerCode,Organization,RegionName,ProjectName,UserName,FormName,SpeciesName,WardLocation,GpsDeleted,Accuracy,nombre de chien ,photo ,photo,animal loc_lat,animal loc_lon,collier ,couleur collier ,sexe ,âge,couleur ,date,remarque ,deja_vu,Gardien
Jun,27/06/2024,10:48 AM,27/06/2024,-18.9019383,47.54725,,,C-270624104718-21261-4,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe10,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719474454341.jpg,Madagascar_Comptages_1719474459580.jpg,0,0,non,,mâle ,1 à 3  ans,marron,27/06/2024,,,
Jun,27/06/2024,10:47 AM,27/06/2024,-18.9019483,47.5470767,,,C-270624104537-21261-3,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe10,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719474381113.jpg,Madagascar_Comptages_1719474387908.jpg,-18.90197839,47.54709341,non,,mâle ,3 - 5 ans ,fauve roux,27/06/2024,,,
Jun,27/06/2024,10:45 AM,27/06/2024,-18.9020083,47.54699,,,C-270624102609-21261-2,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe10,Comptage chien errant ,Dog,,No,0,,"Madagascar_Comptages_1719473192552.jpg,Madagascar_Comptages_1719473528205.jpg",Madagascar_Comptages_1719474325932.jpg,-18.88432011,47.55909026,oui,gris ,femelle ,6 mois à 1 an ,sable,27/06/2024,,,
Jun,27/06/2024,10:25 AM,27/06/2024,-18.9019467,47.54703,,,C-270624102126-21261-1,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe10,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719473107306.jpg,Madagascar_Comptages_1719473113570.jpg,-1.478437827,-1.030435637,non,,femelle ,6 mois à 1 an ,sable charbonné,27/06/2024,,,
Jun,27/06/2024,2:00 PM,27/06/2024,-18.9100943,47.5535881,,,C-270624135943-21259-14,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe8,Comptage chien errant ,Dog,,No,56.1,,Madagascar_Comptages_1719485998016.jpg,Madagascar_Comptages_1719486005856.jpg,-18.9100943,47.5535881,non,,mâle ,3 - 5 ans ,"Fauve charbonné (Feu),noire",27/06/2024,,,
Jun,27/06/2024,1:50 PM,27/06/2024,-18.9089184,47.5540272,,,C-270624134803-21259-13,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe8,Comptage chien errant ,Dog,,No,31.202,,Madagascar_Comptages_1719485296445.jpg,Madagascar_Comptages_1719485304576.jpg,-18.9089184,47.5540272,non,,femelle ,< 6 mois,sable,27/06/2024,zanany,,
Jun,27/06/2024,1:47 PM,27/06/2024,-18.9088848,47.5538551,,,C-270624134709-21259-12,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe8,Comptage chien errant ,Dog,,No,56.809,,Madagascar_Comptages_1719485247911.jpg,Madagascar_Comptages_1719485254394.jpg,-18.9088848,47.5538551,non,,femelle ,3 - 5 ans ,sable,27/06/2024,,,
Jun,27/06/2024,1:41 PM,27/06/2024,-18.9085199,47.5545522,,,C-270624134041-21259-11,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe8,Comptage chien errant ,Dog,,No,6.174,,Madagascar_Comptages_1719484847831.jpg,Madagascar_Comptages_1719484855056.jpg,-18.9085199,47.5545522,non,,femelle ,1 à 3  ans,noire,27/06/2024,,,
Jun,27/06/2024,1:39 PM,27/06/2024,-18.9081858,47.5544309,,,C-270624133811-21259-10,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe8,Comptage chien errant ,Dog,,No,4.876,,Madagascar_Comptages_1719484703584.jpg,Madagascar_Comptages_1719484711388.jpg,-18.9082304,47.554457,non,,femelle ,1 à 3  ans,"Blanc,marron",27/06/2024,,,
Jun,27/06/2024,1:33 PM,27/06/2024,-18.9080051,47.5533561,,,C-270624133245-21259-9,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe8,Comptage chien errant ,Dog,,No,3.9,,Madagascar_Comptages_1719484385907.jpg,Madagascar_Comptages_1719484392564.jpg,-18.9080051,47.5533561,non,,femelle ,< 6 mois,sable,27/06/2024,,,
Jun,27/06/2024,1:32 PM,27/06/2024,-18.9079093,47.5533363,,,C-270624133139-21259-8,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe8,Comptage chien errant ,Dog,,No,24.75,,Madagascar_Comptages_1719484332078.jpg,Madagascar_Comptages_1719484324494.jpg,-18.9079093,47.5533363,non,,femelle ,< 6 mois,"Blanc,gris,noire",27/06/2024,zanany,,
