"","fid","id_transect","Name","fkt","tr_lengh","tr_area","green","industrial","urban","water","name_transect","sum","p_water","p_green","p_industrial","p_urban","sum_check","id_fkt","Seclasse","length","area_real","area_admin","percentage covared","pcc_bac","pcc_total","population","index1","index2","pop_dens_s","area_s","pcc_s","length_s"
"36",299,36,"Analamahitsy Equipe03","Analamahitsy",1557,85521,3478.99166694004,3747.48097594906,23433.1780806445,203.846910965891,"Analamahitsy Equipe03",30863.4976344995,0.00660478968974757,0.11272188616274,0.121421137044432,0.759252187103081,1,7,"Moyen",14999.369,788259,1171349.882,0.672949229,7,15,19875,-0.415577440951231,0.1486775302757,-0.256367935538932,0.928532430374244,0.54001033357942,1.05944123196052
"37",294,37,"Analamahitsy Equipe04","Analamahitsy",1348,72090,2792.46424563427,3593.85781176264,19451.5043161361,177.317965164781,"Analamahitsy Equipe04",26015.1443386978,0.00681595161865077,0.107339948196269,0.138144834599927,0.747699265585153,1,7,"Moyen",14999.369,788259,1171349.882,0.672949229,7,15,19875,-0.580403260046332,-0.215334833148593,-0.256367935538932,0.928532430374244,0.54001033357942,1.05944123196052
"38",225,38,"Analamahitsy Equipe05","Analamahitsy",1713,89903,3179.76798128402,4481.03141799571,24697.5298228245,85.59450218454,"Analamahitsy Equipe05",32443.9237242888,0.00263822905367209,0.0980081203588676,0.138116198770405,0.761237451817056,1,7,"Moyen",14999.369,788259,1171349.882,0.672949229,7,15,19875,-0.735897180984767,0.0652508765422701,-0.256367935538932,0.928532430374244,0.54001033357942,1.05944123196052
"39",302,39,"Analamahitsy Equipe06","Analamahitsy",1577,74972,1902.80059200195,3591.32101000897,21509.7955602953,52.454764187336,"Analamahitsy Equipe06",27056.3719264935,0.00193872128642541,0.070327263284651,0.132734759108347,0.794999256320576,1,7,"Moyen",14999.369,788259,1171349.882,0.672949229,7,15,19875,-0.952957663328219,0.0599592726168846,-0.256367935538932,0.928532430374244,0.54001033357942,1.05944123196052
"40",297,40,"Analamahitsy Equipe07","Analamahitsy",968,53441,2777.51345335002,2469.65426031742,13979.8934858393,60.277779687196,"Analamahitsy Equipe07",19287.338979194,0.00312525122061784,0.144007084458164,0.128045359859208,0.72482230446201,1,7,"Moyen",14999.369,788259,1171349.882,0.672949229,7,15,19875,-0.24934014739438,0.48679664178309,-0.256367935538932,0.928532430374244,0.54001033357942,1.05944123196052
"41",298,41,"Analamahitsy Equipe08","Analamahitsy",1418,81129,3547.11896931969,4641.9566929554,20930.3514293656,160.083888332825,"Analamahitsy Equipe08",29279.5109799735,0.00546743722742906,0.121146796876008,0.158539420147091,0.714846345749472,1,7,"Moyen",14999.369,788259,1171349.882,0.672949229,7,15,19875,-0.630315029651846,-0.410628026672936,-0.256367935538932,0.928532430374244,0.54001033357942,1.05944123196052
"42",301,42,"Analamahitsy Equipe09","Analamahitsy",1335,66579,588.146209007711,3504.89610519651,19916.5978710388,19.0097607970238,"Analamahitsy Equipe09",24028.64994604,0.000791128958127613,0.0244768728300792,0.145863213832957,0.828868784378836,1,7,"Moyen",14999.369,788259,1171349.882,0.672949229,7,15,19875,-1.47198409515036,-0.365418239070131,-0.256367935538932,0.928532430374244,0.54001033357942,1.05944123196052
"43",300,43,"Analamahitsy Equipe10","Analamahitsy",1446,68467,2652.11731569,3093.90718686419,18885.1118532181,78.4923958331347,"Analamahitsy Equipe10",24709.6287516054,0.00317659146651626,0.107331329918006,0.12521058968412,0.764281488931358,1,7,"Moyen",14999.369,788259,1171349.882,0.672949229,7,15,19875,-0.5508352371892,0.320348773164349,-0.256367935538932,0.928532430374244,0.54001033357942,1.05944123196052
"44",503,44,"Andavamamba Equipe05","Andavamamba",1277,69690,2797.29868048722,3434.54799720372,18819.9637617849,112.071130934404,"Andavamamba Equipe05",25163.8815704103,0.00445365038858658,0.11116324294645,0.136487210353205,0.747895896311758,1,8,"Pauvre",3869.679,234563,302711.58,0.7748729,1,10,12402,-0.576309631633782,0.0278244037619123,1.36970898455306,-1.19616582090583,-0.0535355072083046,-1.2938265803462
"45",502,45,"Andavamamba Equipe06","Andavamamba",1261,76366,5498.58642084905,2418.42126723871,19472.2647733138,186.715741287917,"Andavamamba Equipe06",27575.9882026895,0.00677095377019731,0.199397620148125,0.0877002575379273,0.70613116854375,1,8,"Pauvre",3869.679,234563,302711.58,0.7748729,1,10,12402,0.594827955467254,1.2813354609651,1.36970898455306,-1.19616582090583,-0.0535355072083046,-1.2938265803462
"46",501,46,"Andavamamba Equipe07","Andavamamba",1332,67667,3355.85336832111,2805.92027104346,18049.9050552903,221.917254559696,"Andavamamba Equipe07",24433.5959492145,0.0090824639574524,0.137345864902419,0.114838613066844,0.738733058073284,1,8,"Pauvre",3869.679,234563,302711.58,0.7748729,1,10,12402,-0.107462926562232,0.219061469797133,1.36970898455306,-1.19616582090583,-0.0535355072083046,-1.2938265803462
